sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1026827,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1043384,2,9,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1043696,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1043852,7,8,0,0,0,0,0,0,0,0,1,No,0,0.1,0.13,0,No,No,No,Yes,No,No
1044048,8,,0,0,0,0,0,0,0,4,2,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1044198,13,8,0,0,0,0,0,0,0,0,0,No,0,0.82,0.87,0,No,No,No,Yes,No,No
1044643,1095,,0,0,0,0,0,0,0,0,4,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1045098,6,2,0,0,0,0,0,0,0,0,0,No,0,0,0,0,Yes,No,Yes,Yes,No,No
1045815,140,,0,15,114,152,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1045867,4,8,0,0,0,0,0,0,0,0,0,No,0,0.82,0.87,0,No,No,No,Yes,No,No
1045918,0,2,0,0,0,0,0,0,0,0,0,No,0,0.91,0.82,0,No,No,No,Yes,No,No
1047146,20,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1047199,18,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1047661,29,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
1049160,10,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1049468,11,8,0,0,0,0,0,0,0,0,0,No,0,0.82,0.78,0,No,No,No,Yes,No,No
1050390,12,2,0,0,0,0,0,0,0,0,0,No,0,1,0.98,0,No,No,No,Yes,No,No
1050440,169,2,0,0,0,0,0,0,0,0,0,No,0,1,1,0,No,No,No,Yes,No,No
1117808,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1050856,147,8,0,0,0,0,0,0,0,0,0,No,0,-99,1,0,No,No,Yes,Yes,No,No
1118063,8,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1127154,18,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1127410,9,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1128393,33,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
1051516,82,8,0,0,0,0,0,0,0,0,0,No,0,-99,1,0,No,No,No,Yes,No,No
1128591,42,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1130534,5,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,No,No,No
1051715,4,2,0,0,0,0,0,0,1,1,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1053950,0,,0,0,0,0,1,1,1,3,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1132770,5,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1141087,20,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1054562,20,,0,0,0,0,0,0,0,2,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1141767,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1156929,50,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,No,No,No
1157130,19,,0,0,0,0,0,2,2,2,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
